Tool,ID,Page,Label,SpatialDist
Tika,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,20,paragraph,0.088327039894927
PyMuPDF,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,20,paragraph,0.09371745921555018
Tika,15.tar_1402.0861.gz_davis-orrison-su-arxiv_black.pdf,7,paragraph,0.37238076232288964
PyMuPDF,15.tar_1402.0861.gz_davis-orrison-su-arxiv_black.pdf,7,paragraph,0.37076861808044603
Tika,23.tar_1402.5306.gz_linearquadratic_black.pdf,9,paragraph,0.429769392033543
PyMuPDF,23.tar_1402.5306.gz_linearquadratic_black.pdf,9,paragraph,0.42582532386126204
Tika,21.tar_1402.4512.gz_SOSLASSO_NR3_black.pdf,3,paragraph,0.35044977511244385
PyMuPDF,21.tar_1402.4512.gz_SOSLASSO_NR3_black.pdf,3,paragraph,0.3451159255036107
Tika,19.tar_1402.2652.gz_Z2FTI_black.pdf,10,paragraph,0.38425449136056755
PyMuPDF,19.tar_1402.2652.gz_Z2FTI_black.pdf,10,paragraph,0.3843083589919033
Tika,15.tar_1402.0820.gz_lifshitzquasi4_black.pdf,10,paragraph,0.33997509339975096
PyMuPDF,15.tar_1402.0820.gz_lifshitzquasi4_black.pdf,10,paragraph,0.34058421379738973
Tika,24.tar_1402.6103.gz_higgs_mpla_black.pdf,7,paragraph,0.3965860597439545
PyMuPDF,24.tar_1402.6103.gz_higgs_mpla_black.pdf,7,paragraph,0.3955669224211424
Tika,21.tar_1402.4335.gz_resubmit4_black.pdf,8,paragraph,0.41355932203389834
PyMuPDF,21.tar_1402.4335.gz_resubmit4_black.pdf,8,paragraph,0.41128582580573214
Tika,23.tar_1402.5105.gz_cayley3_black.pdf,17,paragraph,0.33648208469055374
PyMuPDF,23.tar_1402.5105.gz_cayley3_black.pdf,17,paragraph,0.33598183881952326
Tika,21.tar_1402.4294.gz_heusener-MathSlovaca-revision_black.pdf,12,paragraph,0.35019945412555115
PyMuPDF,21.tar_1402.4294.gz_heusener-MathSlovaca-revision_black.pdf,12,paragraph,0.35104602510460253
Tika,20.tar_1402.3760.gz_3d_black.pdf,5,paragraph,0.0003478865889719884
PyMuPDF,20.tar_1402.3760.gz_3d_black.pdf,5,paragraph,0.0003533568904593665
Tika,21.tar_1402.4495.gz_LQ_black.pdf,5,paragraph,0.3805326690936961
PyMuPDF,21.tar_1402.4495.gz_LQ_black.pdf,5,paragraph,0.3766010323073982
Tika,21.tar_1402.4069.gz_Application_of_the_Ring_Theory_in_the_Segmentation_of_Digital_Images_black.pdf,7,paragraph,0.3583189972966331
PyMuPDF,21.tar_1402.4069.gz_Application_of_the_Ring_Theory_in_the_Segmentation_of_Digital_Images_black.pdf,7,paragraph,0.3587356040186229
Tika,15.tar_1402.0604.gz_resolve_black.pdf,9,paragraph,0.36314655172413796
PyMuPDF,15.tar_1402.0604.gz_resolve_black.pdf,9,paragraph,0.3605333333333334
Tika,21.tar_1402.3899.gz_manuscriptCASTELNOVO_black.pdf,5,paragraph,0.292063492063492
PyMuPDF,21.tar_1402.3899.gz_manuscriptCASTELNOVO_black.pdf,5,paragraph,0.2856316854582249
Tika,24.tar_1402.6031.gz_main_black.pdf,8,paragraph,0.22279020234291808
PyMuPDF,24.tar_1402.6031.gz_main_black.pdf,8,paragraph,0.22165820642978004
Tika,15.tar_1402.0904.gz_noc-Isotropic-M_black.pdf,3,paragraph,0.3518350015165302
PyMuPDF,15.tar_1402.0904.gz_noc-Isotropic-M_black.pdf,3,paragraph,0.3506187389510902
Tika,20.tar_1402.3454.gz_fh6_black.pdf,8,paragraph,0.1831896551724138
PyMuPDF,20.tar_1402.3454.gz_fh6_black.pdf,8,paragraph,0.1854636591478696
Tika,17.tar_1402.2026.gz_MultipleKernelonArxiv_black.pdf,10,paragraph,0.8353242320819112
PyMuPDF,17.tar_1402.2026.gz_MultipleKernelonArxiv_black.pdf,10,paragraph,0.8463497453310695
Tika,19.tar_1402.2889.gz_demekhin_black.pdf,9,paragraph,0.38796807857581334
PyMuPDF,19.tar_1402.2889.gz_demekhin_black.pdf,9,paragraph,0.38745387453874536
Tika,19.tar_1402.2956.gz_CUJET2.0_black.pdf,16,paragraph,0.3024464831804282
PyMuPDF,19.tar_1402.2956.gz_CUJET2.0_black.pdf,16,paragraph,0.3248592390377068
Tika,25.tar_1402.6748.gz_Chernov.Pham.Tran_Random.transmission_black.pdf,15,paragraph,0.29303442754203357
PyMuPDF,25.tar_1402.6748.gz_Chernov.Pham.Tran_Random.transmission_black.pdf,15,paragraph,0.28921374950612405
Tika,14.tar_1402.0271.gz_nonlocal_calc_3_black.pdf,19,paragraph,0.3663024726854514
PyMuPDF,14.tar_1402.0271.gz_nonlocal_calc_3_black.pdf,19,paragraph,0.3670348343245539
Tika,25.tar_1402.6748.gz_Chernov.Pham.Tran_Random.transmission_black.pdf,6,paragraph,0.3756288429290106
PyMuPDF,25.tar_1402.6748.gz_Chernov.Pham.Tran_Random.transmission_black.pdf,6,paragraph,0.3698403962575674
Tika,15.tar_1402.1190.gz_ms_v2_cmv_black.pdf,2,paragraph,0.3642453422650199
PyMuPDF,15.tar_1402.1190.gz_ms_v2_cmv_black.pdf,2,paragraph,0.3636743215031315
Tika,21.tar_1402.3855.gz_2-4-spinon_black.pdf,4,paragraph,0.3506148222000665
PyMuPDF,21.tar_1402.3855.gz_2-4-spinon_black.pdf,4,paragraph,0.3457715496170768
Tika,25.tar_1402.6337.gz_jparrent_ms_black.pdf,21,paragraph,0.1619496855345912
PyMuPDF,25.tar_1402.6337.gz_jparrent_ms_black.pdf,21,paragraph,0.15682656826568261
Tika,15.tar_1402.0749.gz_memorypaper0514_black.pdf,23,paragraph,0.3741743725231176
PyMuPDF,15.tar_1402.0749.gz_memorypaper0514_black.pdf,23,paragraph,0.3725846407927333
Tika,16.tar_1402.1476.gz_HI0507fix_black.pdf,7,paragraph,0.3720774883099532
PyMuPDF,16.tar_1402.1476.gz_HI0507fix_black.pdf,7,paragraph,0.3747305587796385
Tika,17.tar_1402.2201.gz_Main_text_including_figures_black.pdf,11,paragraph,0.44551422319474837
PyMuPDF,17.tar_1402.2201.gz_Main_text_including_figures_black.pdf,11,paragraph,0.4475615019421666
Tika,21.tar_1402.4222.gz_MAP_MAC_vortex-ring_WSM_black.pdf,5,paragraph,0.3775551102204409
PyMuPDF,21.tar_1402.4222.gz_MAP_MAC_vortex-ring_WSM_black.pdf,5,paragraph,0.3785266457680251
Tika,15.tar_1402.0909.gz_compmv_ArXiv_rev_black.pdf,5,paragraph,0.3703889585947302
PyMuPDF,15.tar_1402.0909.gz_compmv_ArXiv_rev_black.pdf,5,paragraph,0.3692307692307692
Tika,14.tar_1402.0229.gz_PP_and_ASM_paper_black.pdf,7,paragraph,0.36719981977922955
PyMuPDF,14.tar_1402.0229.gz_PP_and_ASM_paper_black.pdf,7,paragraph,0.3670999551770507
Tika,25.tar_1402.6780.gz_CNTforSpinSensing_black.pdf,2,paragraph,0.38142537869381676
PyMuPDF,25.tar_1402.6780.gz_CNTforSpinSensing_black.pdf,2,paragraph,0.3779623747862204
Tika,19.tar_1402.2848.gz_lsek-2_black.pdf,8,paragraph,0.3740926856504746
PyMuPDF,19.tar_1402.2848.gz_lsek-2_black.pdf,8,paragraph,0.37337031900138695
Tika,26.tar_1402.7027.gz_Efficient_Modeling_and_Forecasting_of_Electricity_Spot_Prices_black.pdf,0,paragraph,0.38720879756909277
PyMuPDF,26.tar_1402.7027.gz_Efficient_Modeling_and_Forecasting_of_Electricity_Spot_Prices_black.pdf,0,paragraph,0.38705950317735416
Tika,14.tar_1402.0208.gz_ContinuedFractions80_black.pdf,12,paragraph,0.3091190108191654
PyMuPDF,14.tar_1402.0208.gz_ContinuedFractions80_black.pdf,12,paragraph,0.30920292645360037
Tika,24.tar_1402.6023.gz_mT1201305_black.pdf,7,paragraph,0.12073732718894008
PyMuPDF,24.tar_1402.6023.gz_mT1201305_black.pdf,7,paragraph,0.12322491983508939
Tika,20.tar_1402.3482.gz_unimodular-FTC_black.pdf,10,paragraph,0.36455696202531646
PyMuPDF,20.tar_1402.3482.gz_unimodular-FTC_black.pdf,10,paragraph,0.36501261564339776
Tika,21.tar_1402.4148.gz_arxivversion_black.pdf,40,paragraph,0.30356512530885993
