Tool,ID,Page,Label,SpatialDist
PdfAct,8.tar_1701.03083.gz_Cauchy-BMO-LLG-arxiv_black.pdf,0,paragraph,"(0, 0, 0, 0.3596035865974517)"
PdfAct,3.tar_1701.01116.gz_Love_published_black.pdf,2,paragraph,"(0, 0, 0, 0.506763035622096)"
PdfAct,5.tar_1701.02108.gz_main_black.pdf,32,paragraph,"(0, 0, 0, 0.32111692844677137)"
PdfAct,1.tar_1701.00335.gz_Arxiv_black.pdf,17,paragraph,"(0, 0, 0, 0.5979517674264949)"
PdfAct,10.tar_1701.04105.gz_star_revision_final_black.pdf,14,paragraph,"(0, 0, 0, 0.1989114299851559)"
PdfAct,9.tar_1701.03789.gz_indy_cosled_sub_v6r_black.pdf,6,paragraph,"(0, 0, 0, 0.4014245274404164)"
PdfAct,9.tar_1701.03708.gz_Second_pta_paper_black.pdf,3,paragraph,"(0, 0, 0, 0.6645655110310671)"
PdfAct,3.tar_1701.01207.gz_main_black.pdf,23,paragraph,"(0, 0, 0, 0.325453545904343)"
PdfAct,19.tar_1701.08314.gz_Fading-After-Review_black.pdf,3,paragraph,"(0, 0, 0, 0.5248718304004434)"
PdfAct,5.tar_1701.01997.gz_arxiv_zeno_rogue_v5_black.pdf,1,paragraph,"(0, 0, 0, 0.682331260078323)"
PdfAct,1.tar_1701.00300.gz_PRSTAB_Waltz_black.pdf,3,paragraph,"(0, 0, 0, 0.2746543778801843)"
PdfAct,4.tar_1701.01592.gz_besse-frisch-published210717_black.pdf,9,paragraph,"(0, 0, 0, 0.5454781704781705)"
PdfAct,9.tar_1701.03840.gz_TMAG_manuscript_black.pdf,26,paragraph,0
PdfAct,5.tar_1701.02114.gz_2hdmtype4_black.pdf,3,paragraph,"(0, 0, 0, 0.44470903408245277)"
PdfAct,5.tar_1701.01870.gz_Quest-LZ2_black.pdf,18,paragraph,"(0, 0, 0, 0.8044189852700491)"
PdfAct,8.tar_1701.03451.gz_prglass0918_black.pdf,16,paragraph,0
PdfAct,9.tar_1701.03940.gz_figmn_2_black.pdf,8,paragraph,"(0, 0, 0, 0.6490320107341384)"
PdfAct,5.tar_1701.02175.gz_Leptogenesis_CIB_black.pdf,0,paragraph,0
PdfAct,9.tar_1701.03895.gz_masterdocument-av_black.pdf,21,paragraph,0
PdfAct,2.tar_1701.00531.gz_rootsTnon_black.pdf,2,paragraph,"(0, 0, 0, 0.671860392645684)"
PdfAct,5.tar_1701.01761.gz_mueconversion-1-5-final_black.pdf,1,paragraph,"(0, 0, 0, 0.45585412667946257)"
PdfAct,20.tar_1701.08821.gz_YTO_Arpino_2017_black.pdf,8,paragraph,"(0, 0, 0, 0.0012224938875306179)"
